competitor_species,rii_tb_s,rii_tb,loc
PS,-0.07035499582777029,-0.47140006893044883,US1
VG,0.08986009776980267,-0.9216199606686334,US1
BH,-0.3641919181044646,-0.14237355977466842,US2
BT,-0.7660088883217503,-0.34571782208860447,US2
CM,-0.20146993855369455,0.09385071695865492,US2
HV,-0.42375540495068514,-0.44293533548646463,US2
LP,-0.017760497244852718,-0.2073902306809873,US2
LS,-0.2579040439488343,-0.5254639237022907,US2
PS,-0.03994940613418806,-0.2870212788780854,US2
VG,0.026836640609638366,0.2761596548004314,US2
BH,0.3423325531782058,-0.3937825512922806,US3
BT,0.028818103642420396,-0.5991782630421038,US3
CM,0.22665708155576852,-0.34426936509372896,US3
HV,0.2723902588516479,-0.5937406830887473,US3
LP,0.3573814338109712,0.06921041543918809,US3
LS,0.09772120172177533,-0.5643428404458454,US3
PS,-0.01600654899911526,-0.4945727619815428,US3
VG,0.3034043297542146,-0.9393063583815029,US3
BH,0.30705422650443137,-0.5645751124577738,US4
BT,-0.13568696080253956,-0.6273412714159601,US4
CM,-0.044360974217401074,-0.6387208240370942,US4
HV,0.4441679385441315,-0.2744459020635768,US4
LP,0.34341832338639117,-0.09157238110789495,US4
LS,-0.12202785313011089,-0.6235398857645228,US4
PS,0.13893540244659838,-0.49889015670615616,US4
VG,0.46771264938579843,-0.8206377797170769,US4
BH,0.30481894806684673,-0.34695217570089415,US5
BT,-0.07855647536069017,-0.5824519982644815,US5
CM,-0.07723092793727114,-0.490811491704939,US5
HV,-0.030470350421668714,-0.29382499247009053,US5
LP,-0.22084819105114079,-0.12856231037878924,US5
LS,-0.07179908707570956,-0.6255546622653803,US5
PS,-0.017407715614774645,-0.44067291207057774,US5
VG,0.26271009903494136,-0.5780331825490865,US5
BH,-0.37451301563011924,-0.5345746361710407,US6
BT,-0.5924945801151899,-0.5790487674373057,US6
CM,-0.46850298012259345,-0.4364494281608778,US6
HV,-0.12581727493157036,-0.2873453980840447,US6
LP,0.1833762553426395,-0.08307473626858314,US6
LS,-0.5455414761196911,-0.5993493088778106,US6
PS,-0.3762124546902753,-0.25639892709244116,US6
VG,-0.13835133083531131,-0.654747225647349,US6
BH,-0.2065751814538932,-0.4788151262627295,US7
BT,-0.7102712973074492,-0.15539086089543583,US7
CM,-0.22563801609886283,-0.28014753136234216,US7
HV,-0.2665126671607368,-0.22899437721885968,US7
LP,-0.45316270853766233,-0.013525044245590022,US7
LS,-0.4680186071092233,-0.5549002998969428,US7
PS,-0.6992956042367375,-0.28033928359618293,US7
VG,-0.17080802531645572,-0.5388103873453456,US7
BH,0.3839755383216821,-0.32004576315693994,US8
BT,-0.030554845371677082,-0.6256954696247895,US8
CM,0.23050494022736476,-0.6975389223181087,US8
HV,0.02284455110304163,-0.43262657484552597,US8
LP,0.08600228286593813,-0.17036967942292428,US8
LS,-0.031136088359990516,-0.8295969583784256,US8
PS,-0.046386220651235315,-0.5316771403194669,US8
VG,0.38824901851671334,-0.8313733968482663,US8
BH,-0.20094533696993203,-0.596144052952365,US9
BT,-0.6190769958449307,-0.6214370689191216,US9
CM,-0.44919732593392664,-0.5648780564181906,US9
HV,-0.46989329461994805,-0.642864397786511,US9
LP,-0.145343117918063,-0.07067180455017748,US9
LS,-0.7569662937641207,-0.7140440152562693,US9
PS,-0.45205559498314474,-0.5595958485938327,US9
VG,-0.11419149197349807,-0.803480368780798,US9
